Angle_deg,Frequency_Hz,Magnitude_dB,Phase_deg
0.0,18000000000,-36.8195,-158.6157
0.0,18010000000,-36.4804,122.9305
0.0,18020000000,-35.8034,59.8450
0.0,18030000000,-35.6689,-31.4356
0.0,18040000000,-35.0462,-84.9268
0.0,18050000000,-36.2515,-165.5956
0.0,18060000000,-35.3472,120.6374
0.0,18070000000,-34.8852,40.0856
0.0,18080000000,-35.1396,-28.9993
0.0,18090000000,-35.6793,-96.9907
0.0,18100000000,-34.2302,-176.8047
0.0,18110000000,-37.0875,115.3046
0.0,18120000000,-34.8672,36.9562
0.0,18130000000,-33.9755,-36.7904
0.0,18140000000,-35.1902,-115.6741
0.0,18150000000,-36.0159,175.7571
0.0,18160000000,-36.2855,95.9241
0.0,18170000000,-35.8865,30.0886
0.0,18180000000,-35.7244,-40.4266
0.0,18190000000,-35.1545,-119.8026
0.0,18200000000,-36.4567,159.5394
0.0,18210000000,-35.7064,91.6992
0.0,18220000000,-34.9909,19.1132
0.0,18230000000,-35.3455,-66.1959
0.0,18240000000,-36.7965,-125.1637
0.0,18250000000,-35.1277,157.8920
0.0,18260000000,-34.6289,82.7792
0.0,18270000000,-36.5057,9.4101
0.0,18280000000,-35.8310,-62.0637
0.0,18290000000,-35.9553,-138.8600
0.0,18300000000,-35.3797,156.9356
0.0,18310000000,-35.8553,74.8777
0.0,18320000000,-35.2768,8.1288
0.0,18330000000,-35.7266,-71.1904
0.0,18340000000,-36.3929,-148.7180
0.0,18350000000,-36.1715,134.1896
0.0,18360000000,-35.3013,63.3193
0.0,18370000000,-36.3142,1.3504
0.0,18380000000,-36.2012,-80.3271
0.0,18390000000,-36.1504,-148.6068
0.0,18400000000,-35.8378,140.7372
0.0,18410000000,-34.4154,56.1395
0.0,18420000000,-36.1316,-15.0925
0.0,18430000000,-34.8289,-82.9919
0.0,18440000000,-34.3463,-158.7505
0.0,18450000000,-36.0020,129.5518
0.0,18460000000,-36.1330,45.1090
0.0,18470000000,-36.3087,-15.3504
0.0,18480000000,-35.6631,-98.8330
0.0,18490000000,-34.7078,-172.3880
0.0,18500000000,-35.6453,121.8713
0.0,18510000000,-35.6076,40.7270
0.0,18520000000,-36.2258,-28.0400
0.0,18530000000,-36.6559,-96.5544
0.0,18540000000,-34.9919,-168.6797
0.0,18550000000,-34.9542,117.1069
0.0,18560000000,-36.4194,38.4956
0.0,18570000000,-35.4351,-40.5792
0.0,18580000000,-35.1450,-103.0308
0.0,18590000000,-35.1500,169.0699
0.0,18600000000,-34.4607,103.2841
0.0,18610000000,-35.5682,31.5025
0.0,18620000000,-35.1178,-40.0625
0.0,18630000000,-34.2309,-114.5197
0.0,18640000000,-35.4196,172.4758
0.0,18650000000,-34.4093,85.9451
0.0,18660000000,-34.2734,32.3208
0.0,18670000000,-34.7553,-57.5658
0.0,18680000000,-34.8384,-127.9757
0.0,18690000000,-35.7810,163.7595
0.0,18700000000,-34.3467,93.8232
0.0,18710000000,-37.4107,19.1441
0.0,18720000000,-34.5372,-56.5108
0.0,18730000000,-36.4267,-135.4187
0.0,18740000000,-35.4341,149.9027
0.0,18750000000,-34.1521,82.1876
0.0,18760000000,-36.0369,0.4494
0.0,18770000000,-34.4927,-66.5182
0.0,18780000000,-35.9742,-142.6412
0.0,18790000000,-36.7866,152.4970
0.0,18800000000,-35.8946,66.0681
0.0,18810000000,-35.6306,2.3507
0.0,18820000000,-34.7438,-74.3144
0.0,18830000000,-35.6257,-159.6862
0.0,18840000000,-34.8052,145.4565
0.0,18850000000,-35.3079,65.5507
0.0,18860000000,-36.3048,-6.8810
0.0,18870000000,-35.0970,-74.0963
0.0,18880000000,-35.0809,-149.1830
0.0,18890000000,-35.3998,133.1579
0.0,18900000000,-35.0021,53.5954
0.0,18910000000,-35.1420,-11.5240
0.0,18920000000,-36.1603,-89.3137
0.0,18930000000,-35.8588,-164.6195
0.0,18940000000,-34.7094,124.0485
0.0,18950000000,-36.1141,43.5086
0.0,18960000000,-35.0519,-14.8842
0.0,18970000000,-36.3450,-101.7927
0.0,18980000000,-35.3696,-171.8485
0.0,18990000000,-36.4110,119.0163
0.0,19000000000,-35.2118,41.5809
0.0,19010000000,-35.2777,-26.8330
0.0,19020000000,-36.5089,-103.1041
0.0,19030000000,-35.1031,176.5392
0.0,19040000000,-35.9078,112.3547
0.0,19050000000,-34.3647,39.6315
0.0,19060000000,-34.1948,-30.6942
0.0,19070000000,-34.4621,-110.5999
0.0,19080000000,-35.0613,173.2315
0.0,19090000000,-34.9768,98.7420
0.0,19100000000,-34.5216,23.1720
0.0,19110000000,-34.7428,-40.1637
0.0,19120000000,-35.2766,-120.0655
0.0,19130000000,-34.9422,170.7703
0.0,19140000000,-35.8009,94.9930
0.0,19150000000,-35.5923,25.3432
0.0,19160000000,-34.2678,-50.2830
0.0,19170000000,-34.0458,-128.9197
0.0,19180000000,-34.9474,157.5398
0.0,19190000000,-36.1219,92.1921
0.0,19200000000,-34.7488,17.4730
0.0,19210000000,-35.1434,-63.3302
0.0,19220000000,-34.8593,-136.2303
0.0,19230000000,-35.6932,144.8504
0.0,19240000000,-36.9704,86.9551
0.0,19250000000,-35.6044,10.0238
0.0,19260000000,-34.8358,-69.6656
0.0,19270000000,-36.6673,-142.3626
0.0,19280000000,-36.2361,149.0651
0.0,19290000000,-36.5971,62.7812
0.0,19300000000,-35.9661,-2.1397
0.0,19310000000,-35.4669,-81.3579
0.0,19320000000,-36.6234,-145.5695
0.0,19330000000,-34.6540,144.5758
0.0,19340000000,-35.7532,61.5265
0.0,19350000000,-35.3072,-15.5645
0.0,19360000000,-36.7121,-88.0649
0.0,19370000000,-35.4696,-156.0521
0.0,19380000000,-34.8260,126.5086
0.0,19390000000,-34.5791,59.8473
0.0,19400000000,-34.9017,-22.3113
0.0,19410000000,-36.1719,-88.5044
0.0,19420000000,-35.5068,-148.6835
0.0,19430000000,-38.1621,123.9201
0.0,19440000000,-34.4449,53.5830
0.0,19450000000,-34.0745,-20.5770
0.0,19460000000,-35.4740,-99.0439
0.0,19470000000,-35.5732,-174.7800
0.0,19480000000,-36.0772,107.7479
0.0,19490000000,-36.1902,31.5248
0.0,19500000000,-35.1658,-31.4951
0.0,19510000000,-36.5689,-104.8815
0.0,19520000000,-35.7169,-177.5250
0.0,19530000000,-35.9829,108.8598
0.0,19540000000,-35.1087,34.4501
0.0,19550000000,-34.8304,-38.1068
0.0,19560000000,-36.0778,-115.2098
0.0,19570000000,-35.2680,175.2619
0.0,19580000000,-35.7933,87.9829
0.0,19590000000,-35.9521,28.9201
0.0,19600000000,-35.7939,-46.0666
0.0,19610000000,-35.2578,-112.9031
0.0,19620000000,-34.9548,157.1334
0.0,19630000000,-34.8581,88.8205
0.0,19640000000,-34.3061,15.2750
0.0,19650000000,-35.2762,-51.7371
0.0,19660000000,-33.8738,-127.0891
0.0,19670000000,-35.7423,157.3835
0.0,19680000000,-34.2090,81.8904
0.0,19690000000,-34.6670,12.1532
0.0,19700000000,-36.6279,-52.2302
0.0,19710000000,-35.4816,-133.9893
0.0,19720000000,-34.8452,153.1524
0.0,19730000000,-35.4203,75.7265
0.0,19740000000,-35.1557,17.6574
0.0,19750000000,-34.9530,-72.2856
0.0,19760000000,-34.7767,-136.3364
0.0,19770000000,-35.4182,148.0485
0.0,19780000000,-33.8018,75.6699
0.0,19790000000,-36.1931,0.5992
0.0,19800000000,-35.4042,-85.2797
0.0,19810000000,-35.5250,-147.8797
0.0,19820000000,-36.0384,153.1931
0.0,19830000000,-35.9015,74.7829
0.0,19840000000,-35.5570,-9.5632
0.0,19850000000,-35.4201,-83.7835
0.0,19860000000,-35.4582,-160.8072
0.0,19870000000,-34.1943,133.6825
0.0,19880000000,-35.9264,62.2380
0.0,19890000000,-35.2248,-17.5807
0.0,19900000000,-34.6337,-86.3218
0.0,19910000000,-35.8895,-164.6915
0.0,19920000000,-35.4695,128.6933
0.0,19930000000,-36.3242,56.5864
0.0,19940000000,-35.3372,-24.5282
0.0,19950000000,-36.3224,-96.8249
0.0,19960000000,-36.2274,-170.8160
0.0,19970000000,-35.3442,115.2256
0.0,19980000000,-35.1690,47.5111
0.0,19990000000,-35.5816,-32.1739
0.0,20000000000,-34.7917,-101.2034
0.0,20010000000,-35.2156,176.7044
0.0,20020000000,-36.1741,109.9459
0.0,20030000000,-34.1186,28.9485
0.0,20040000000,-35.3838,-37.4137
0.0,20050000000,-34.6629,-113.9116
0.0,20060000000,-34.4230,176.3427
0.0,20070000000,-35.9982,95.5748
0.0,20080000000,-34.5854,22.0745
0.0,20090000000,-36.2089,-50.8693
0.0,20100000000,-35.5275,-117.8056
0.0,20110000000,-35.6863,164.6129
0.0,20120000000,-35.7683,100.4427
0.0,20130000000,-35.5853,23.4295
0.0,20140000000,-35.8676,-48.8408
0.0,20150000000,-35.3063,-122.5856
0.0,20160000000,-35.8862,160.4155
0.0,20170000000,-35.5845,85.9230
0.0,20180000000,-35.4992,22.7826
0.0,20190000000,-36.8623,-60.4929
0.0,20200000000,-34.3420,-130.1045
0.0,20210000000,-37.1453,154.2374
0.0,20220000000,-36.4368,93.7434
0.0,20230000000,-35.4060,15.3088
