Angle_deg,Frequency_Hz,Magnitude_dB,Phase_deg
0.0,8000000000,-59.4674,-140.1928
0.0,8010000000,-60.5085,-18.5723
0.0,8020000000,-62.3607,-102.6113
0.0,8030000000,-68.1933,113.8870
0.0,8040000000,-67.8768,-174.0596
0.0,8050000000,-69.5895,-76.9917
0.0,8060000000,-61.7825,-23.4312
0.0,8070000000,-69.7058,-165.1808
0.0,8080000000,-70.3972,39.2205
0.0,8090000000,-65.1121,-73.8027
0.0,8100000000,-62.5365,124.2284
0.0,8110000000,-64.7005,-108.8310
0.0,8120000000,-62.2870,31.2049
0.0,8130000000,-69.7897,79.0941
0.0,8140000000,-67.9436,-4.8424
0.0,8150000000,-60.1504,1.3906
0.0,8160000000,-69.6910,8.6440
0.0,8170000000,-60.3669,-166.6193
0.0,8180000000,-74.7217,154.5239
0.0,8190000000,-68.9688,-170.7754
0.0,8200000000,-71.1433,-87.5056
0.0,8210000000,-73.9578,161.6143
0.0,8220000000,-61.7696,-168.4736
0.0,8230000000,-63.3703,-152.6674
0.0,8240000000,-59.9795,-58.4571
0.0,8250000000,-66.4230,-4.6840
0.0,8260000000,-61.7145,62.1557
0.0,8270000000,-71.5367,-82.2434
0.0,8280000000,-67.7156,-100.9396
0.0,8290000000,-77.9002,116.3087
0.0,8300000000,-70.4296,53.5722
0.0,8310000000,-60.0510,-175.9214
0.0,8320000000,-61.4578,-5.8346
0.0,8330000000,-64.1049,-53.3521
0.0,8340000000,-64.8782,124.7990
0.0,8350000000,-78.7809,-132.0510
0.0,8360000000,-70.1860,-150.3513
0.0,8370000000,-77.4079,-152.5948
0.0,8380000000,-75.4429,95.9885
0.0,8390000000,-71.9816,125.9381
0.0,8400000000,-66.5234,144.0077
0.0,8410000000,-70.5109,111.6520
0.0,8420000000,-63.2041,62.7047
0.0,8430000000,-65.3493,-92.6102
0.0,8440000000,-59.4711,102.0109
0.0,8450000000,-68.2430,-115.7486
0.0,8460000000,-61.2498,-26.5161
0.0,8470000000,-59.5200,-118.4445
0.0,8480000000,-64.3421,155.7972
0.0,8490000000,-61.8905,2.7065
0.0,8500000000,-77.1608,154.9843
0.0,8510000000,-63.0595,53.8455
0.0,8520000000,-59.0069,133.6436
0.0,8530000000,-68.0333,25.4269
0.0,8540000000,-63.2573,91.4100
0.0,8550000000,-66.4118,-47.6847
0.0,8560000000,-63.6420,-83.0693
0.0,8570000000,-68.7411,109.8697
0.0,8580000000,-67.2245,-106.7260
0.0,8590000000,-60.2648,118.4927
0.0,8600000000,-60.2906,-158.8777
0.0,8610000000,-61.8043,33.1614
0.0,8620000000,-63.0514,-138.9892
0.0,8630000000,-67.0054,-129.6426
0.0,8640000000,-61.9401,-151.9993
0.0,8650000000,-61.7506,-165.8107
0.0,8660000000,-61.4393,64.2218
0.0,8670000000,-62.0142,-61.5821
0.0,8680000000,-57.4820,48.2783
0.0,8690000000,-64.0485,-72.0336
0.0,8700000000,-59.7383,110.0626
0.0,8710000000,-62.6007,110.1938
0.0,8720000000,-69.1995,-102.6165
0.0,8730000000,-67.0917,-80.9527
0.0,8740000000,-58.5449,168.5136
0.0,8750000000,-61.6177,145.2916
0.0,8760000000,-57.0639,155.9733
0.0,8770000000,-68.3902,-11.2389
0.0,8780000000,-55.8293,93.5140
0.0,8790000000,-61.1545,102.1562
0.0,8800000000,-68.8761,8.5195
0.0,8810000000,-57.8757,-81.1071
0.0,8820000000,-63.9361,131.6339
0.0,8830000000,-63.0242,11.5867
0.0,8840000000,-65.7953,-148.5496
0.0,8850000000,-66.4179,13.7766
0.0,8860000000,-58.8657,129.7030
0.0,8870000000,-61.0224,126.8045
0.0,8880000000,-64.7256,158.2514
0.0,8890000000,-66.7678,171.4975
0.0,8900000000,-62.9666,53.9701
0.0,8910000000,-65.7701,64.8656
0.0,8920000000,-57.9522,132.4288
