Frequency_Hz,Magnitude_dB,Phase_deg
12000000000,1.0519,33.1948
12010000000,-1.3404,30.9169
12020000000,1.0608,29.2591
12030000000,1.5286,56.1769
12040000000,1.3159,71.7204
12050000000,1.7699,95.7930
12060000000,-0.4835,110.8398
12070000000,0.7917,105.2372
12080000000,3.1161,138.4771
12090000000,1.8769,172.6898
12100000000,0.5694,-172.1647
12110000000,-0.3747,-165.7087
12120000000,0.6240,-162.6104
12130000000,2.3602,-142.0442
12140000000,1.6290,-108.3803
12150000000,-0.5476,-102.2728
12160000000,1.5027,-100.2987
12170000000,2.0711,-69.9860
12180000000,1.5150,-48.7845
12190000000,1.1488,-30.9580
12200000000,0.9864,-16.5893
12210000000,1.5403,2.3445
12220000000,1.0222,22.8324
12230000000,1.0829,37.3145
12240000000,0.7996,59.8084
12250000000,-1.9232,60.8306
12260000000,0.7565,50.5991
12270000000,3.1204,86.7263
12280000000,1.6595,118.6425
12290000000,0.7475,132.6023
12300000000,-0.1019,143.8605
12310000000,0.4590,144.4101
12320000000,2.4917,165.5704
12330000000,1.5063,-157.5334
12340000000,-1.3692,-156.0427
12350000000,1.1251,-161.1890
12360000000,2.5565,-127.5684
12370000000,2.2921,-98.6981
12380000000,1.0754,-72.0468
12390000000,-0.9783,-68.4210
12400000000,0.9400,-73.0623
12410000000,2.9145,-39.0405
12420000000,1.8698,-8.2362
12430000000,-0.3378,8.8607
12440000000,-1.0243,-7.7639
12450000000,2.5782,4.0939
12460000000,4.3804,53.8643
12470000000,0.6741,86.5849
12480000000,-0.2212,85.5901
12490000000,0.1818,95.3755
12500000000,0.8544,101.6785
12510000000,3.1291,130.3789
12520000000,0.5598,171.6165
12530000000,-2.5168,151.80375
12540000000,2.0852,154.7571
12550000000,2.1235,-162.7761
12560000000,-0.1681,-151.9283
12570000000,1.0073,-145.2074
12580000000,0.6704,-125.5966
12590000000,0.9322,-119.7348
12600000000,2.7800,-91.4278
12610000000,1.7912,-57.9371
12620000000,-0.6437,-44.6526
12630000000,-0.6360,-53.0607
12640000000,1.6029,-41.9177
12650000000,2.8631,-6.8798
12660000000,0.8877,17.7734
12670000000,1.0247,29.5666
12680000000,0.2450,46.7515
12690000000,0.7306,48.7315
12700000000,3.3371,75.7121
12710000000,0.1796,116.6589
12720000000,-1.6117,91.4190
12730000000,3.0954,107.4838
12740000000,2.0045,149.8097
12750000000,1.0399,159.6399
12760000000,2.6484,-167.7416
12770000000,-1.3811,-153.2429
12780000000,0.3231,-166.5781
12790000000,3.1138,-128.9983
12800000000,0.3338,-98.4823
12810000000,-1.2989,-105.7041
12820000000,0.7498,-97.1168
12830000000,1.1868,-80.7779
12840000000,2.5079,-55.6406
12850000000,0.0823,-24.8415
12860000000,-1.2437,-36.6633
12870000000,2.0097,-27.0421
12880000000,2.7014,9.0153
12890000000,1.4570,39.7301
12900000000,-1.1457,44.1573
12910000000,1.1172,44.7451
12920000000,2.3077,77.4351
12930000000,0.0006,97.2016
12940000000,0.7855,96.6091
12950000000,2.3875,129.5044
12960000000,-0.2118,143.4344
12970000000,2.0493,150.2324
12980000000,2.0153,-170.8511
12990000000,-0.7499,-162.9477
13000000000,1.5590,-164.1369
13010000000,1.4710,-128.8129
13020000000,0.3225,-120.8184
13030000000,2.0633,-103.3196
13040000000,0.6783,-74.7445
13050000000,0.0111,-71.7822
13060000000,1.6575,-49.9544
13070000000,0.6648,-29.3072
13080000000,0.6900,-16.2268
13090000000,0.0093,1.8599
13100000000,-0.0486,5.7191
13110000000,1.2697,21.9545
13120000000,0.4868,41.2847
13130000000,0.6133,49.5577
13140000000,1.4585,72.1172
13150000000,0.0910,81.2443
13160000000,2.4386,97.0082
13170000000,2.6542,142.9513
13180000000,-2.0096,151.0823
13190000000,0.3293,134.3959
13200000000,2.7515,170.2766
13210000000,1.2474,-163.7103
13220000000,0.9489,-147.4537
13230000000,-0.5852,-135.0630
13240000000,0.8559,-139.7949
13250000000,3.4280,-104.3362
13260000000,1.9378,-66.9845
