Angle_deg,Frequency_Hz,Magnitude_dB,Phase_deg,ReturnLoss_dB,VSWR
0.0,4000000000,-5.0044,89.2361,5.0044,3.5668
0.0,4020000000,-5.0045,88.7797,5.0045,3.5667
0.0,4040000000,-5.0046,88.3233,5.0046,3.5667
0.0,4060000000,-5.0047,87.8668,5.0047,3.5666
0.0,4080000000,-5.0048,87.4102,5.0048,3.5666
0.0,4100000000,-5.0048,86.9536,5.0048,3.5665
0.0,4120000000,-5.0049,86.4969,5.0049,3.5665
0.0,4140000000,-5.0050,86.0401,5.0050,3.5664
0.0,4160000000,-5.0051,85.5833,5.0051,3.5663
0.0,4180000000,-5.0052,85.1265,5.0052,3.5663
0.0,4200000000,-5.0053,84.6695,5.0053,3.5662
0.0,4220000000,-5.0053,84.2125,5.0053,3.5662
0.0,4240000000,-5.0054,83.7555,5.0054,3.5661
0.0,4260000000,-5.0055,83.2984,5.0055,3.5660
0.0,4280000000,-5.0056,82.8412,5.0056,3.5660
0.0,4300000000,-5.0057,82.3839,5.0057,3.5659
0.0,4320000000,-5.0058,81.9266,5.0058,3.5658
0.0,4340000000,-5.0059,81.4692,5.0059,3.5658
0.0,4360000000,-5.0060,81.0117,5.0060,3.5657
0.0,4380000000,-5.0061,80.5541,5.0061,3.5656
0.0,4400000000,-5.0062,80.0965,5.0062,3.5656
0.0,4420000000,-5.0063,79.6388,5.0063,3.5655
0.0,4440000000,-5.0064,79.1810,5.0064,3.5654
0.0,4460000000,-5.0065,78.7231,5.0065,3.5654
0.0,4480000000,-5.0067,78.2652,5.0067,3.5653
0.0,4500000000,-5.0068,77.8072,5.0068,3.5652
0.0,4520000000,-5.0069,77.3491,5.0069,3.5651
0.0,4540000000,-5.0070,76.8909,5.0070,3.5650
0.0,4560000000,-5.0071,76.4326,5.0071,3.5650
0.0,4580000000,-5.0073,75.9742,5.0073,3.5649
0.0,4600000000,-5.0074,75.5157,5.0074,3.5648
0.0,4620000000,-5.0075,75.0572,5.0075,3.5647
0.0,4640000000,-5.0076,74.5985,5.0076,3.5646
0.0,4660000000,-5.0078,74.1398,5.0078,3.5645
0.0,4680000000,-5.0079,73.6810,5.0079,3.5644
0.0,4700000000,-5.0080,73.2220,5.0080,3.5643
0.0,4720000000,-5.0082,72.7630,5.0082,3.5642
0.0,4740000000,-5.0083,72.3039,5.0083,3.5641
0.0,4760000000,-5.0085,71.8446,5.0085,3.5640
0.0,4780000000,-5.0086,71.3853,5.0086,3.5639
0.0,4800000000,-5.0088,70.9258,5.0088,3.5638
0.0,4820000000,-5.0089,70.4663,5.0089,3.5637
0.0,4840000000,-5.0091,70.0066,5.0091,3.5636
0.0,4860000000,-5.0093,69.5468,5.0093,3.5635
0.0,4880000000,-5.0094,69.0869,5.0094,3.5634
0.0,4900000000,-5.0096,68.6269,5.0096,3.5633
0.0,4920000000,-5.0098,68.1667,5.0098,3.5632
0.0,4940000000,-5.0100,67.7064,5.0100,3.5631
0.0,4960000000,-5.0101,67.2461,5.0101,3.5629
0.0,4980000000,-5.0103,66.7855,5.0103,3.5628
0.0,5000000000,-5.0105,66.3249,5.0105,3.5627
0.0,5020000000,-5.0107,65.8641,5.0107,3.5625
0.0,5040000000,-5.0109,65.4031,5.0109,3.5624
0.0,5060000000,-5.0111,64.9421,5.0111,3.5623
0.0,5080000000,-5.0113,64.4809,5.0113,3.5621
0.0,5100000000,-5.0115,64.0195,5.0115,3.5620
0.0,5120000000,-5.0117,63.5580,5.0117,3.5619
0.0,5140000000,-5.0120,63.0964,5.0120,3.5617
0.0,5160000000,-5.0122,62.6345,5.0122,3.5615
0.0,5180000000,-5.0124,62.1726,5.0124,3.5614
0.0,5200000000,-5.0127,61.7104,5.0127,3.5612
0.0,5220000000,-5.0129,61.2481,5.0129,3.5611
0.0,5240000000,-5.0132,60.7857,5.0132,3.5609
0.0,5260000000,-5.0134,60.3230,5.0134,3.5607
0.0,5280000000,-5.0137,59.8602,5.0137,3.5606
0.0,5300000000,-5.0139,59.3972,5.0139,3.5604
0.0,5320000000,-5.0142,58.9341,5.0142,3.5602
0.0,5340000000,-5.0145,58.4707,5.0145,3.5600
0.0,5360000000,-5.0148,58.0071,5.0148,3.5598
0.0,5380000000,-5.0151,57.5434,5.0151,3.5596
0.0,5400000000,-5.0154,57.0794,5.0154,3.5594
0.0,5420000000,-5.0157,56.6152,5.0157,3.5592
0.0,5440000000,-5.0160,56.1509,5.0160,3.5590
0.0,5460000000,-5.0163,55.6863,5.0163,3.5588
0.0,5480000000,-5.0166,55.2214,5.0166,3.5586
0.0,5500000000,-5.0170,54.7564,5.0170,3.5583
0.0,5520000000,-5.0173,54.2911,5.0173,3.5581
0.0,5540000000,-5.0177,53.8256,5.0177,3.5579
0.0,5560000000,-5.0181,53.3598,5.0181,3.5576
0.0,5580000000,-5.0184,52.8938,5.0184,3.5574
0.0,5600000000,-5.0188,52.4276,5.0188,3.5571
0.0,5620000000,-5.0192,51.9610,5.0192,3.5568
0.0,5640000000,-5.0196,51.4942,5.0196,3.5566
0.0,5660000000,-5.0201,51.0272,5.0201,3.5563
0.0,5680000000,-5.0205,50.5598,5.0205,3.5560
0.0,5700000000,-5.0209,50.0921,5.0209,3.5557
0.0,5720000000,-5.0214,49.6242,5.0214,3.5554
0.0,5740000000,-5.0218,49.1559,5.0218,3.5551
0.0,5760000000,-5.0223,48.6873,5.0223,3.5547
0.0,5780000000,-5.0228,48.2184,5.0228,3.5544
0.0,5800000000,-5.0233,47.7492,5.0233,3.5541
0.0,5820000000,-5.0239,47.2796,5.0239,3.5537
0.0,5840000000,-5.0244,46.8097,5.0244,3.5534
0.0,5860000000,-5.0250,46.3394,5.0250,3.5530
0.0,5880000000,-5.0255,45.8688,5.0255,3.5526
0.0,5900000000,-5.0261,45.3977,5.0261,3.5522
0.0,5920000000,-5.0267,44.9263,5.0267,3.5518
0.0,5940000000,-5.0274,44.4544,5.0274,3.5514
0.0,5960000000,-5.0280,43.9822,5.0280,3.5510
0.0,5980000000,-5.0287,43.5095,5.0287,3.5505
0.0,6000000000,-5.0294,43.0363,5.0294,3.5500
0.0,6020000000,-5.0301,42.5628,5.0301,3.5496
0.0,6040000000,-5.0308,42.0887,5.0308,3.5491
0.0,6060000000,-5.0316,41.6142,5.0316,3.5486
0.0,6080000000,-5.0323,41.1391,5.0323,3.5481
0.0,6100000000,-5.0331,40.6636,5.0331,3.5475
0.0,6120000000,-5.0340,40.1875,5.0340,3.5470
0.0,6140000000,-5.0348,39.7108,5.0348,3.5464
0.0,6160000000,-5.0357,39.2336,5.0357,3.5458
0.0,6180000000,-5.0366,38.7558,5.0366,3.5452
0.0,6200000000,-5.0376,38.2774,5.0376,3.5445
0.0,6220000000,-5.0386,37.7984,5.0386,3.5439
0.0,6240000000,-5.0396,37.3187,5.0396,3.5432
0.0,6260000000,-5.0407,36.8384,5.0407,3.5425
